주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000282,애월읍 무료 주차장,공영,노외,제주특별자치도 제주시 애월읍하귀1리 118-0,제주특별자치도 제주시 애월읍하귀1리 118-1,15,2,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000281,애월읍 무료 주차장,공영,노외,제주특별자치도 제주시 애월읍하귀1리 123-9,제주특별자치도 제주시 애월읍하귀1리 123-10,17,2,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000280,애월읍 무료 주차장,공영,노외,제주특별자치도 제주시 애월읍하귀1리 144-0,제주특별자치도 제주시 애월읍하귀1리 144-1,17,2,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000279,애월읍 무료 주차장,공영,노외,제주특별자치도 제주시 애월읍하귀1리 146-0,제주특별자치도 제주시 애월읍하귀1리 146-1,18,2,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000278,애월읍 무료 주차장,공영,노외,제주특별자치도 제주시 애월읍하귀1리 149-3,제주특별자치도 제주시 애월읍하귀1리 149-3,6,2,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000277,애월읍 무료 주차장,공영,노외,제주특별자치도 제주시 애월읍하귀1리 149-5,제주특별자치도 제주시 애월읍하귀1리 149-5,6,2,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000276,애월읍 무료 주차장,공영,노외,제주특별자치도 제주시 애월읍고내리 461-0,제주특별자치도 제주시 애월읍고내리 461-1,13,2,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000275,한림읍 무료 주차장,공영,노외,제주특별자치도 제주시 한림읍한림리 905-34,제주특별자치도 제주시 한림읍한림리 905-35,9,2,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000274,조천읍 무료 주차장,공영,노외,제주특별자치도 제주시 조천읍교래리 산137-23,제주특별자치도 제주시 조천읍교래리 산137-24,65,2,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000273,한림읍 무료 주차장,공영,노외,제주특별자치도 제주시 한림읍대림리 1717-1,제주특별자치도 제주시 한림읍대림리 1717-2,144,2,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
