주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,소재지도로명주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,연락처,위도(WGS84좌표),경도(WGS84좌표),데이터기준일자
406-2-000001,송악산,공영,노외,제주특별자치도 서귀포시 상모리 165,,17,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2059547,126.2889526,2016-08-31
406-2-000002,남원읍사무소 옆,공영,노외,제주특별자치도 서귀포시 남원읍 남원리 205-1,제주특별자치도 서귀포시 태위로 695,20,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-4192,33.2797838,126.7205951,2016-08-31
406-2-000003,위미출장소 옆,공영,노외,제주특별자치도 서귀포시 남원읍 위미리 2892,제주특별자치도 서귀포시 태위로 105,15,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2492,33.2750016,126.6586782,2016-08-31
406-2-000004,구 오일장마당,공영,노외,제주특별자치도 서귀포시 남원읍 남원리 84-2,,40,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-2632,33.2788179,126.7214486,2016-08-31
406-2-000005,성산체육관,공영,노외,제주특별자치도 서귀포시 성산읍 오조리 1365-1,제주특별자치도 서귀포시 일주동로 4024,72,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-4293,33.467199,126.9049515,2016-08-31
406-2-000006,군민체육관,공영,노외,제주특별자치도 서귀포시 남원읍 남원리 2337-1,제주특별자치도 서귀포시 태위로 551-27,82,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-4192,33.2779477,126.7044594,2016-08-31
406-2-000007,표선 시가지내,공영,노외,제주특별자치도 서귀포시 표선리 634-28,,19,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-4482,33.3250838,126.8338772,2016-08-31
406-2-000008,성산일출봉 주차장,공영,노외,제주특별자치도 서귀포시 성산읍 성산리 114-3,제주특별자치도 서귀포시 일출로 284-6,204,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-710-7914,33.4624686,126.9352237,2016-08-31
406-2-000009,산방산 주차장,공영,노외,제주특별자치도 서귀포시 안덕면 사계리 166-4,,31,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-6321,33.2362678,126.3126286,2016-08-31
406-2-000010,삼성의원 앞,공영,노외,제주특별자치도 서귀포시 대정읍 하모리 841-58,,15,2,미시행,평일+토요일+공휴일,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,무료,,,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.2202965,126.2532563,2016-08-31
